,Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Touches,FantPt/Touch
83,82,Lamar Jackson,BAL,QB,24,12,12,246,382,2882,16,13,133,767,5.77,2,0,0,0,,0,6,3,2,,2,240,240.0,262.0,253.0,,16,,133.0,0.0
84,83,Jimmy Garoppolo,SFO,QB,30,15,15,301,441,3810,20,12,38,51,1.34,3,0,0,0,,0,8,3,3,,1,228,227.5,245.5,239.5,,17,,38.0,0.0
85,84,Mac Jones,NWE,QB,23,17,17,352,521,3801,22,13,44,129,2.93,0,0,0,0,,0,7,3,0,,2,225,224.9,246.9,237.9,,18,,44.0,0.0
86,85,Matt Ryan,ATL,QB,36,17,17,375,560,3968,20,12,40,82,2.05,1,0,0,0,,0,11,4,1,1,,223,222.9,241.9,234.9,,19,,40.0,0.0
87,86,Taylor Heinicke,WAS,QB,28,16,15,321,494,3419,20,15,60,313,5.22,1,1,1,-2,-2.00,0,7,2,1,1,,222,222.9,245.9,237.4,,20,,61.0,0.0
88,87,Ben Roethlisberger,PIT,QB,39,16,16,390,605,3740,22,10,20,5,0.25,1,0,0,0,,0,11,5,1,,2,218,218.1,236.1,228.1,,21,,20.0,0.0
89,88,Teddy Bridgewater,DEN,QB,29,14,14,285,426,3052,18,7,30,106,3.53,2,0,0,0,,0,1,1,2,,1,203,202.7,216.7,209.7,,22,,30.0,0.0
90,89,Trevor Lawrence,JAX,QB,22,17,17,359,602,3641,12,17,73,334,4.58,2,0,0,0,,0,9,5,2,,2,199,199.0,227.0,216.0,,23,,73.0,0.0
92,90,Jared Goff,DET,QB,27,14,14,332,494,3245,19,8,17,87,5.12,0,0,0,0,,0,9,6,0,,4,195,194.5,211.5,202.5,,24,,17.0,0.0
93,91,Baker Mayfield,CLE,QB,26,14,14,253,418,3010,17,13,37,134,3.62,1,0,0,11,,0,6,3,1,,2,181,180.9,202.9,193.9,,26,,37.0,0.0
94,92,Tua Tagovailoa,MIA,QB,23,13,12,263,388,2653,16,10,42,128,3.05,3,0,0,0,,0,9,1,3,,1,181,180.9,197.9,190.9,,25,,42.0,0.0
95,93,Daniel Jones,NYG,QB,24,11,11,232,361,2428,10,7,62,298,4.81,2,1,1,16,16.00,0,7,3,2,2,1,167,167.5,183.5,174.0,,27,,63.0,0.0
96,94,Sam Darnold,CAR,QB,24,12,11,243,406,2527,9,13,48,222,4.63,5,0,0,0,,0,9,4,5,,1,157,157.3,180.3,170.3,,28,,48.0,0.0
97,95,Davis Mills,HOU,QB,23,13,11,263,394,2664,16,10,18,44,2.44,0,0,0,0,,0,5,1,0,1,1,157,157.0,171.0,167.0,,29,,18.0,0.0
98,96,Zach Wilson,NYJ,QB,22,13,13,213,383,2334,9,11,29,185,6.38,4,1,0,0,,0,5,1,4,1,1,152,151.9,169.9,162.9,,30,,29.0,0.0
99,97,James Robinson,JAX,RB,23,14,13,0,0,0,0,0,164,767,4.68,8,46,31,222,7.16,0,4,2,8,,,143,173.9,181.9,158.4,,25,,195.0,0.7333333333333333
100,98,Darrell Henderson,LAR,RB,24,12,10,0,0,0,0,0,149,688,4.62,5,40,29,176,6.07,3,0,0,8,,,134,163.4,169.4,148.9,,26,,178.0,0.7528089887640449
101,99,Justin Fields,CHI,QB,22,12,10,159,270,1870,7,10,72,420,5.83,2,0,0,0,,0,12,5,2,,,127,126.8,147.8,136.8,,31,,72.0,0.0
102,100,Myles Gaskin,MIA,RB,24,17,10,0,0,0,0,0,173,612,3.54,3,63,49,234,4.78,4,2,1,7,,,125,173.6,180.6,149.1,,28,,222.0,0.5630630630630631
103,101,Sony Michel,LAR,RB,26,17,7,0,0,0,0,0,208,845,4.06,4,33,21,128,6.10,1,1,1,5,,,125,146.3,153.3,135.8,,27,,229.0,0.5458515283842795
104,102,Tony Pollard,DAL,RB,24,15,0,0,0,0,0,0,130,719,5.53,2,46,39,337,8.64,0,2,0,3,,,124,162.6,168.6,143.1,,29,,169.0,0.7337278106508875
105,103,DeVonta Smith,PHI,WR,23,17,16,0,0,0,0,0,0,0,,0,104,64,916,14.31,5,1,1,5,1,,122,185.6,189.6,153.6,,30,,64.0,1.90625
106,104,A.J. Brown,TEN,WR,24,13,13,0,2,0,0,0,2,10,5.00,0,105,63,869,13.79,5,0,0,5,,,118,180.9,183.9,149.4,,32,,65.0,1.8153846153846154
107,105,Michael Carter,NYJ,RB,22,14,11,0,0,0,0,0,147,639,4.35,4,55,36,325,9.03,0,1,1,4,,,118,154.4,161.4,136.4,,30,,183.0,0.644808743169399
108,106,Taysom Hill,NOR,QB,31,12,9,78,134,978,4,5,70,374,5.34,5,6,4,52,13.00,0,2,0,5,,,118,121.7,132.7,124.7,,32,,74.0,0.0
109,107,Van Jefferson,LAR,WR,25,17,17,0,0,0,0,0,2,20,10.00,0,89,50,802,16.04,6,0,0,6,,,118,168.2,171.2,143.2,,31,,52.0,2.269230769230769
110,108,Tyler Boyd,CIN,WR,27,16,10,1,1,46,0,0,2,22,11.00,0,94,67,828,12.36,5,1,0,5,,,117,183.8,186.8,150.3,,33,,69.0,1.6956521739130435
112,110,Rashaad Penny,SEA,RB,25,10,6,0,0,0,0,0,119,749,6.29,6,8,6,48,8.00,0,0,0,6,,,116,121.7,124.7,118.7,,31,,125.0,0.928
113,111,Brandon Aiyuk,SFO,WR,23,17,16,0,0,0,0,0,5,17,3.40,0,84,56,826,14.75,5,2,1,5,1,,114,170.3,174.3,142.3,,34,,61.0,1.8688524590163935
114,112,Devonta Freeman,BAL,RB,29,16,8,0,0,0,0,0,133,576,4.33,5,42,34,190,5.59,1,0,0,6,,,113,146.6,152.6,129.6,,32,,167.0,0.6766467065868264
115,113,Chuba Hubbard,CAR,RB,22,17,10,0,0,0,0,0,172,612,3.56,5,37,25,174,6.96,1,1,1,6,,,113,137.6,144.6,125.1,,33,,197.0,0.5736040609137056
116,114,K.J. Osborn,MIN,WR,24,17,9,0,0,0,0,0,1,10,10.00,0,82,50,655,13.10,7,0,0,7,,,109,158.5,161.5,133.5,,35,,51.0,2.1372549019607843
117,115,Saquon Barkley,NYG,RB,24,13,13,0,0,0,0,0,162,593,3.66,2,57,41,263,6.41,2,2,1,4,,,108,148.6,155.6,128.1,,34,,203.0,0.5320197044334976
118,116,Chase Claypool,PIT,WR,23,15,13,0,0,0,0,0,14,96,6.86,0,105,59,860,14.58,2,0,0,2,,,108,166.6,169.6,137.1,,36,,73.0,1.4794520547945205
119,117,Marvin Jones,JAX,WR,31,17,16,0,0,0,0,0,0,0,,0,120,73,832,11.40,4,0,0,4,,,107,180.2,183.2,143.7,,37,,73.0,1.4657534246575343
120,118,Marquez Callaway,NOR,WR,23,17,11,0,0,0,0,0,0,0,,0,84,46,698,15.17,6,0,0,6,,,106,151.8,154.8,128.8,,38,,46.0,2.3043478260869565
121,119,DeAndre Hopkins,ARI,WR,29,10,10,0,0,0,0,0,0,0,,0,64,42,572,13.62,8,0,0,8,,,105,147.2,150.2,126.2,,39,,42.0,2.5
123,120,Devontae Booker,NYG,RB,29,16,4,0,0,0,0,0,145,593,4.09,2,45,40,268,6.70,1,0,0,3,,,104,144.1,150.1,124.1,,35,,185.0,0.5621621621621622
124,121,A.J. Green,ARI,WR,33,16,9,0,0,0,0,0,0,0,,0,92,54,848,15.70,3,0,0,3,,,103,156.8,159.8,129.8,,43,,54.0,1.9074074074074074
125,122,Allen Lazard,GNB,WR,26,15,13,0,0,0,0,0,3,32,10.67,0,60,40,513,12.83,8,0,0,8,,,103,142.5,145.5,122.5,,44,,43.0,2.395348837209302
126,123,Jakobi Meyers,NWE,WR,25,17,16,2,2,45,0,0,1,9,9.00,0,126,83,866,10.43,2,1,1,2,2,,103,186.3,190.3,144.8,,41,,84.0,1.2261904761904763
127,124,Tim Patrick,DEN,WR,28,16,16,0,0,0,0,0,0,0,,0,85,53,734,13.85,5,0,0,5,,,103,156.4,159.4,129.9,,40,,53.0,1.9433962264150944
128,125,Cedrick Wilson Jr.,DAL,WR,26,16,4,3,3,88,0,0,2,11,5.50,0,61,45,602,13.38,6,3,0,6,1,,103,147.8,150.8,125.3,,42,,47.0,2.1914893617021276
129,126,Rhamondre Stevenson,NWE,RB,23,12,2,0,0,0,0,0,133,606,4.56,5,18,14,123,8.79,0,2,1,5,,,101,114.9,121.9,107.9,,36,,147.0,0.6870748299319728
130,127,Chase Edmonds,ARI,RB,25,12,11,0,0,0,0,0,116,592,5.10,2,53,43,311,7.23,0,1,1,2,,,100,143.3,150.3,121.8,,37,,159.0,0.6289308176100629
131,128,Clyde Edwards-Helaire,KAN,RB,22,10,10,0,0,0,0,0,119,517,4.34,4,23,19,129,6.79,2,2,2,6,1,,99,117.6,125.6,108.1,,38,,138.0,0.717391304347826
